,V1
1,ProjectName
2,EcologicalSiteId
3,PlotID
4,PlotKey
5,Latitude_NAD83
6,Longitude_NAD83
7,DateEstablished
8,DateVisited
9,BareSoil
10,TotalFoliarCover
11,GapCover_25_50
12,GapCover_51_100
13,GapCover_101_200
14,GapCover_200_plus
15,GapCover_25_plus
16,AH_SagebrushCover
17,Hgt_Woody_Avg
18,Hgt_Herbaceous_Avg
19,Hgt_NonSagebrushShrub_Avg
20,SoilStability_All
21,SoilStability_Protected
22,SoilStability_Unprotected
23,AH_NoxPerenForbCover
24,AH_NoxAnnForbCover
25,AH_NoxPerenGraminoidCover
26,AH_NoxAnnGraminoidCover
27,AH_NoxAnnForbGraminoidCover
28,AH_NoxPerenForbGraminoidCover
29,AH_NoxSucculentCover
30,AH_NoxShrubCover
31,AH_NoxSubShrubCover
32,AH_NoxTreeCover
33,NumSpp_NoxPlant
34,AH_NonNoxPerenForbCover
35,AH_NonNoxAnnForbCover
36,AH_NonNoxPerenGraminoidCover
37,AH_NonNoxAnnGraminoidCover
38,AH_NonNoxAnnForbGraminoidCover
39,AH_NonNoxPerenForbGraminoidCover
40,AH_NonNoxSucculentCover
41,AH_NonNoxShrubCover
42,AH_NonNoxSubShrubCover
43,AH_NonNoxTreeCover
44,Hgt_NonNoxPerenGraminoid_Avg
45,Hgt_NoxPerenGraminoid_Avg
46,DateLoadedInDb
47,PrimaryKey
48,NumSpp_NonNoxPlant
49,Hgt_PerenGraminoid_Avg
50,FH_NoxPerenGraminoidCover
51,FH_NoxShrubCover
52,FH_TotalLitterCover
53,FH_NoxSubShrubCover
54,FH_NoxSucculentCover
55,FH_NoxTreeCover
56,FH_VagrLichenCover
57,FH_EmbLitterCover
58,FH_RockCover
59,FH_WoodyLitterCover
60,FH_NonNoxAnnGraminoidCover
61,FH_NonNoxTreeCover
62,FH_CyanobacteriaCover
63,FH_NonNoxSubShrubCover
64,FH_WaterCover
65,FH_HerbLitterCover
66,FH_NonNoxPerenForbCover
67,FH_DepSoilCover
68,FH_NonNoxPerenGraminoidCover
69,FH_NoxAnnForbCover
70,FH_NonNoxAnnForbCover
71,FH_LichenCover
72,FH_NonNoxShrubCover
73,FH_SagebrushCover
74,FH_NoxPerenForbCover
75,FH_NoxAnnGraminoidCover
76,FH_NonNoxSucculentCover
77,RH_Rills
78,RH_WaterFlowPatterns
79,RH_BareGround
80,RH_Gullies
81,RH_WindScouredAreas
82,RH_LitterMovement
83,RH_SoilSurfResisErosion
84,RH_SoilSurfLossDeg
85,RH_Compaction
86,RH_FuncSructGroup
87,RH_DeadDyingPlantParts
88,RH_LitterAmount
89,RH_AnnualProd
90,RH_InvasivePlants
91,RH_ReprodCapabilityPeren
92,RH_CommentsSS
93,RH_CommentsHF
94,RH_CommentsBI
95,AH_NonNoxCover
96,EcolSiteName
97,County
98,State
99,AH_SagebrushCover_Live
100,Hgt_Sagebrush_Live_Avg
101,Hgt_Sagebrush_Avg
102,SagebrushShape_Live_ColumnCount
103,SagebrushShape_Live_SpreadCount
104,SagebrushShape_All_ColumnCount
105,SagebrushShape_All_SpreadCount
106,SagebrushShape_Live_Predominant
107,SagebrushShape_All_Predominant
108,AH_PerenGraminoidCover
109,AH_PerenForbCover
110,AH_PerenForbGraminoidCover
111,Hgt_PerenForbGraminoid_Avg
112,Hgt_PerenForb_Avg
113,AH_ShrubCover
114,AH_NonSagebrushShrubCover
115,Spp_PreferredForb
116,AH_PreferredForbCover
117,NumSpp_PreferredForb
118,AH_AnnGraminoidCover
119,AH_GraminoidCover
120,AH_ForbCover
121,AH_TallPerenGraminoidCover
122,AH_ShortPerenGraminoidCover
123,Spp_TallPerenGraminoid
124,Spp_ShortPerenGraminoid
125,Hgt_TallPerenGraminoid_Avg
126,Hgt_ShortPerenGraminoid_Avg
127,Hgt_Graminoid_Avg
128,Hgt_Forb_Avg
129,Spp_Sagebrush
130,AH_NoxCover
131,Spp_Nox
132,FH_MossCover
133,FH_DuffCover
134,DBKey
135,RH_PedestalsTerracettes
136,RH_PlantCommunityComp
137,RH_BioticIntegrity
138,GlobalID
139,RH_HydrologicFunction
140,RH_SoilSiteStability
141,created_user
142,created_date
143,last_edited_user
144,last_edited_date
145,AH_WoodyLitterCover
146,AH_HerbLitterCover
147,AH_TotalLitterCover
148,Purpose
149,PurposeFlag
150,Design
151,DesignFlag
152,Hgt_Shrub_Avg
153,SpeciesState
154,Shape
155,AH_AnnForbCover
156,AH_AnnForbGraminoidCover
